message,label
"Free coffee in the break room today, come grab some before lunch!",ham
Can you send me the presentation before Monday? Thanks!,ham
Your PayPal account needs verification. Click free-prize.com immediately or lose access!,spam
CONGRATULATIONS! You have WON a laptop! Click claim-now.net now to claim your prize!!!,spam
Can you send me the invoice before the weekend? Thanks!,ham
Your PayPal account needs verification. Click verify-account.info immediately or lose access!,spam
Let's grab coffee sometime this Friday if you're free.,ham
"Cheap loans available NOW! Apply at claim-now.net, no credit check needed!",spam
Hot singles in your area want to meet you! Click claim-now.net to see photos!,spam
Could you review the spreadsheet when you get a chance?,ham
"See you at the call on Monday, looking forward to it.",ham
"Act now! Exclusive laptop deal just for you, visit free-prize.com today only!",spam
Hot singles in your area want to meet you! Click claim-now.net to see photos!,spam
Could you review the spreadsheet when you get a chance?,ham
Hot singles in your area want to meet you! Click verify-account.info to see photos!,spam
Just checking in - how did the lunch go?,ham
Your PayPal account needs verification. Click claim-now.net immediately or lose access!,spam
"Get vacation FREE! Limited time offer, click free-prize.com before it's gone!",spam
Could you review the report when you get a chance?,ham
"Hey, are we still on for the workshop this tomorrow?",ham
Your PayPal account needs verification. Click claim-now.net immediately or lose access!,spam
"Free coffee in the break room today, come grab some before the workshop!",ham
URGENT: Your account will be suspended. Verify now at free-prize.com to avoid closure.,spam
"Make $5000 a week working from home! No experience needed, visit bit.ly/xyz123!",spam
"Make $1000 a week working from home! No experience needed, visit claim-now.net!",spam
Reminder - click the link in the calendar invite to join the project review.,ham
Reminder: the call has been moved to Friday.,ham
Reminder: lunch has been moved to Monday.,ham
You've been selected for a cash prize giveaway! Claim at free-prize.com immediately!,spam
URGENT: Your account will be suspended. Verify now at verify-account.info to avoid closure.,spam
Hot singles in your area want to meet you! Click verify-account.info to see photos!,spam
URGENT: Your account will be suspended. Verify now at verify-account.info to avoid closure.,spam
"Act now! Exclusive vacation deal just for you, visit free-prize.com today only!",spam
WINNER! Your number was picked for a vacation. Reply YES or visit verify-account.info.,spam
"Make $5000 a week working from home! No experience needed, visit claim-now.net!",spam
URGENT: Your account will be suspended. Verify now at free-prize.com to avoid closure.,spam
Let's grab coffee sometime this Tuesday if you're free.,ham
"Act now! Exclusive gift card deal just for you, visit claim-now.net today only!",spam
URGENT: Your account will be suspended. Verify now at claim-now.net to avoid closure.,spam
"The the meeting meeting notes are attached, let me know your thoughts.",ham
Your PayPal account needs verification. Click verify-account.info immediately or lose access!,spam
"Act now! Exclusive cash prize deal just for you, visit verify-account.info today only!",spam
"The the project review meeting notes are attached, let me know your thoughts.",ham
"Reminder about the call, see you there on tomorrow.",spam
Could you review the presentation when you get a chance?,ham
"Cheap loans available NOW! Apply at claim-now.net, no credit check needed!",spam
"Thanks for the help with the presentation earlier, really appreciate it.",ham
"Act now! Exclusive laptop deal just for you, visit bit.ly/xyz123 today only!",spam
Your PayPal account needs verification. Click bit.ly/xyz123 immediately or lose access!,spam
"See you at the workshop on Tuesday, looking forward to it.",ham
Just checking in - how did the the workshop go?,ham
"Hey, are we still on for the meeting this Tuesday?",ham
"Reminder about the meeting, see you there on Friday.",spam
"Act now! Exclusive iPhone deal just for you, visit free-prize.com today only!",spam
Just checking in - how did the the meeting go?,ham
CONGRATULATIONS! You have WON a iPhone! Click bit.ly/xyz123 now to claim your prize!!!,spam
"Reminder about the meeting, see you there on Friday.",spam
Happy birthday! Hope you have a great Friday.,ham
"Make $5000 a week working from home! No experience needed, visit verify-account.info!",spam
Can you send me the assignment before Friday? Thanks!,ham
"The the workshop meeting notes are attached, let me know your thoughts.",ham
CONGRATULATIONS! You have WON a lottery jackpot! Click bit.ly/xyz123 now to claim your prize!!!,spam
"Hi, following up on the invoice - can you review it by the weekend? Thanks.",spam
Limited spots left for the workshop - confirm by the weekend if you're attending.,ham
"The the meeting meeting notes are attached, let me know your thoughts.",ham
Happy birthday! Hope you have a great the weekend.,ham
URGENT: Your account will be suspended. Verify now at free-prize.com to avoid closure.,spam
Let's grab coffee sometime this tomorrow if you're free.,ham
Just checking in - how did the lunch go?,ham
"See you at the meeting on tomorrow, looking forward to it.",ham
"Reminder about the call, see you there on the weekend.",spam
Reminder: lunch has been moved to Friday.,ham
"Make $2500 a week working from home! No experience needed, visit claim-now.net!",spam
URGENT: Your account will be suspended. Verify now at verify-account.info to avoid closure.,spam
Could you review the report when you get a chance?,ham
Limited spots left for the meeting - confirm by the weekend if you're attending.,ham
"Reminder about lunch, see you there on tomorrow.",spam
WINNER! Your number was picked for a cash prize. Reply YES or visit verify-account.info.,spam
Happy birthday! Hope you have a great the weekend.,ham
URGENT: Your account will be suspended. Verify now at free-prize.com to avoid closure.,spam
"See you at the meeting on the weekend, looking forward to it.",ham
Reminder: the call has been moved to tomorrow.,ham
Let's grab coffee sometime this Monday if you're free.,ham
Can you send me the presentation before Monday? Thanks!,ham
Just checking in - how did the the workshop go?,ham
"Get iPhone FREE! Limited time offer, click free-prize.com before it's gone!",spam
Hot singles in your area want to meet you! Click free-prize.com to see photos!,spam
"Hi, following up on the report - can you review it by Monday? Thanks.",spam
Let's grab coffee sometime this the weekend if you're free.,ham
"Get laptop FREE! Limited time offer, click claim-now.net before it's gone!",spam
Reminder: the workshop has been moved to tomorrow.,ham
Just checking in - how did the the call go?,ham
"Get cash prize FREE! Limited time offer, click verify-account.info before it's gone!",spam
Your PayPal account needs verification. Click claim-now.net immediately or lose access!,spam
CONGRATULATIONS! You have WON a iPhone! Click bit.ly/xyz123 now to claim your prize!!!,spam
You've been selected for a laptop giveaway! Claim at claim-now.net immediately!,spam
Just checking in - how did the the meeting go?,ham
CONGRATULATIONS! You have WON a laptop! Click bit.ly/xyz123 now to claim your prize!!!,spam
"The the call meeting notes are attached, let me know your thoughts.",ham
Let's grab coffee sometime this Monday if you're free.,ham
"URGENT: can you send the report today? Deadline moved up, please reply ASAP.",ham
"The the workshop meeting notes are attached, let me know your thoughts.",ham
"Hey, are we still on for lunch this Monday?",ham
Hot singles in your area want to meet you! Click claim-now.net to see photos!,spam
Just checking in - how did the the call go?,ham
"Cheap loans available NOW! Apply at free-prize.com, no credit check needed!",spam
"See you at lunch on Tuesday, looking forward to it.",ham
Reminder: lunch has been moved to the weekend.,ham
"Cheap loans available NOW! Apply at verify-account.info, no credit check needed!",spam
"Make $1000 a week working from home! No experience needed, visit claim-now.net!",spam
WINNER! Your number was picked for a vacation. Reply YES or visit free-prize.com.,spam
"Reminder about the project review, see you there on tomorrow.",spam
"Free coffee in the break room today, come grab some before the project review!",ham
"Thanks for the help with the report earlier, really appreciate it.",ham
Just checking in - how did the the meeting go?,ham
"Act now! Exclusive cash prize deal just for you, visit verify-account.info today only!",spam
CONGRATULATIONS! You have WON a lottery jackpot! Click verify-account.info now to claim your prize!!!,spam
Let's grab coffee sometime this tomorrow if you're free.,ham
Reminder: the workshop has been moved to Tuesday.,ham
"Act now! Exclusive laptop deal just for you, visit claim-now.net today only!",spam
URGENT: Your account will be suspended. Verify now at bit.ly/xyz123 to avoid closure.,spam
"Hey, are we still on for the project review this Tuesday?",ham
"Reminder about the project review, see you there on Friday.",spam
Hot singles in your area want to meet you! Click verify-account.info to see photos!,spam
Reminder - click the link in the calendar invite to join lunch.,ham
"Reminder about lunch, see you there on Tuesday.",spam
"Hey, are we still on for lunch this Friday?",ham
CONGRATULATIONS! You have WON a laptop! Click free-prize.com now to claim your prize!!!,spam
Just checking in - how did the the project review go?,ham
Happy birthday! Hope you have a great Friday.,ham
"Make $5000 a week working from home! No experience needed, visit claim-now.net!",spam
"See you at the meeting on Friday, looking forward to it.",ham
"Hey, are we still on for the meeting this tomorrow?",ham
Can you send me the presentation before Friday? Thanks!,ham
You've been selected for a gift card giveaway! Claim at free-prize.com immediately!,spam
"Make $500 a week working from home! No experience needed, visit bit.ly/xyz123!",spam
"Cheap loans available NOW! Apply at verify-account.info, no credit check needed!",spam
Happy birthday! Hope you have a great the weekend.,ham
Can you send me the report before tomorrow? Thanks!,ham
"Thanks for the help with the invoice earlier, really appreciate it.",ham
"See you at the meeting on Tuesday, looking forward to it.",ham
CONGRATULATIONS! You have WON a lottery jackpot! Click claim-now.net now to claim your prize!!!,spam
Reminder - click the link in the calendar invite to join the project review.,ham
"Thanks for the help with the spreadsheet earlier, really appreciate it.",ham
"Act now! Exclusive laptop deal just for you, visit claim-now.net today only!",spam
"The the workshop meeting notes are attached, let me know your thoughts.",ham
WINNER! Your number was picked for a iPhone. Reply YES or visit verify-account.info.,spam
Hot singles in your area want to meet you! Click verify-account.info to see photos!,spam
WINNER! Your number was picked for a gift card. Reply YES or visit free-prize.com.,spam
"Hey, are we still on for the meeting this the weekend?",ham
"See you at the call on Friday, looking forward to it.",ham
Could you review the invoice when you get a chance?,ham
Limited spots left for the call - confirm by tomorrow if you're attending.,ham
"Reminder about the project review, see you there on tomorrow.",spam
Hot singles in your area want to meet you! Click bit.ly/xyz123 to see photos!,spam
"Reminder about the meeting, see you there on Monday.",spam
Your PayPal account needs verification. Click verify-account.info immediately or lose access!,spam
"Free coffee in the break room today, come grab some before the project review!",ham
CONGRATULATIONS! You have WON a gift card! Click verify-account.info now to claim your prize!!!,spam
"Get vacation FREE! Limited time offer, click free-prize.com before it's gone!",spam
Let's grab coffee sometime this Friday if you're free.,ham
"Cheap loans available NOW! Apply at bit.ly/xyz123, no credit check needed!",spam
Hot singles in your area want to meet you! Click verify-account.info to see photos!,spam
"See you at the project review on the weekend, looking forward to it.",ham
Happy birthday! Hope you have a great Tuesday.,ham
"Make $1000 a week working from home! No experience needed, visit claim-now.net!",spam
Hot singles in your area want to meet you! Click claim-now.net to see photos!,spam
Let's grab coffee sometime this tomorrow if you're free.,ham
Could you review the invoice when you get a chance?,ham
Just checking in - how did the lunch go?,ham
Your PayPal account needs verification. Click verify-account.info immediately or lose access!,spam
Just checking in - how did the the meeting go?,ham
"Make $1000 a week working from home! No experience needed, visit bit.ly/xyz123!",spam
"Make $500 a week working from home! No experience needed, visit bit.ly/xyz123!",spam
Could you review the spreadsheet when you get a chance?,ham
Could you review the invoice when you get a chance?,ham
URGENT: Your account will be suspended. Verify now at free-prize.com to avoid closure.,spam
Can you send me the spreadsheet before tomorrow? Thanks!,ham
"Free coffee in the break room today, come grab some before lunch!",ham
Just checking in - how did the lunch go?,ham
"See you at the project review on Tuesday, looking forward to it.",ham
WINNER! Your number was picked for a iPhone. Reply YES or visit free-prize.com.,spam
"Get cash prize FREE! Limited time offer, click free-prize.com before it's gone!",spam
Hot singles in your area want to meet you! Click claim-now.net to see photos!,spam
"The the call meeting notes are attached, let me know your thoughts.",ham
"Thanks for the help with the report earlier, really appreciate it.",ham
Could you review the report when you get a chance?,ham
Just checking in - how did the the workshop go?,ham
Just checking in - how did the lunch go?,ham
Hot singles in your area want to meet you! Click free-prize.com to see photos!,spam
Let's grab coffee sometime this Friday if you're free.,ham
"Hi, following up on the invoice - can you review it by Monday? Thanks.",spam
Can you send me the invoice before tomorrow? Thanks!,ham
"Hey, are we still on for the call this Friday?",ham
Can you send me the presentation before tomorrow? Thanks!,ham
Hot singles in your area want to meet you! Click free-prize.com to see photos!,spam
"Make $2500 a week working from home! No experience needed, visit verify-account.info!",spam
Hot singles in your area want to meet you! Click free-prize.com to see photos!,spam
"Hi, following up on the spreadsheet - can you review it by Friday? Thanks.",spam
"Act now! Exclusive lottery jackpot deal just for you, visit bit.ly/xyz123 today only!",spam
"Hi, following up on the spreadsheet - can you review it by tomorrow? Thanks.",spam
"Get iPhone FREE! Limited time offer, click bit.ly/xyz123 before it's gone!",spam
You've been selected for a iPhone giveaway! Claim at claim-now.net immediately!,spam
You've been selected for a iPhone giveaway! Claim at free-prize.com immediately!,spam
"Hey, are we still on for the workshop this Monday?",ham
"Cheap loans available NOW! Apply at claim-now.net, no credit check needed!",spam
URGENT: Your account will be suspended. Verify now at claim-now.net to avoid closure.,spam
"Get laptop FREE! Limited time offer, click claim-now.net before it's gone!",spam
"See you at the project review on the weekend, looking forward to it.",ham
You've been selected for a vacation giveaway! Claim at claim-now.net immediately!,spam
"Get vacation FREE! Limited time offer, click verify-account.info before it's gone!",spam
"The the workshop meeting notes are attached, let me know your thoughts.",ham
Reminder - click the link in the calendar invite to join the meeting.,ham
"Hi, following up on the report - can you review it by Friday? Thanks.",spam
"Free coffee in the break room today, come grab some before the project review!",ham
Let's grab coffee sometime this Monday if you're free.,ham
CONGRATULATIONS! You have WON a iPhone! Click claim-now.net now to claim your prize!!!,spam
You've been selected for a lottery jackpot giveaway! Claim at claim-now.net immediately!,spam
Just checking in - how did the the project review go?,ham
Just checking in - how did the lunch go?,ham
"URGENT: can you send the assignment today? Deadline moved up, please reply ASAP.",ham
"Thanks for the help with the report earlier, really appreciate it.",ham
"The the meeting meeting notes are attached, let me know your thoughts.",ham
CONGRATULATIONS! You have WON a laptop! Click claim-now.net now to claim your prize!!!,spam
"Cheap loans available NOW! Apply at verify-account.info, no credit check needed!",spam
Happy birthday! Hope you have a great tomorrow.,ham
Just checking in - how did the the project review go?,ham
"Cheap loans available NOW! Apply at bit.ly/xyz123, no credit check needed!",spam
Happy birthday! Hope you have a great tomorrow.,ham
"Thanks for the help with the invoice earlier, really appreciate it.",ham
"Thanks for the help with the presentation earlier, really appreciate it.",ham
"The lunch meeting notes are attached, let me know your thoughts.",ham
"Reminder about the workshop, see you there on the weekend.",spam
"Hi, following up on the report - can you review it by Monday? Thanks.",spam
Could you review the presentation when you get a chance?,ham
CONGRATULATIONS! You have WON a cash prize! Click claim-now.net now to claim your prize!!!,spam
URGENT: Your account will be suspended. Verify now at free-prize.com to avoid closure.,spam
Reminder: the meeting has been moved to the weekend.,ham
"Act now! Exclusive cash prize deal just for you, visit claim-now.net today only!",spam
"Free coffee in the break room today, come grab some before the workshop!",ham
"Make $5000 a week working from home! No experience needed, visit bit.ly/xyz123!",spam
"Hey, are we still on for the call this Friday?",ham
"Act now! Exclusive lottery jackpot deal just for you, visit bit.ly/xyz123 today only!",spam
"Act now! Exclusive cash prize deal just for you, visit verify-account.info today only!",spam
"See you at the call on tomorrow, looking forward to it.",ham
"Make $500 a week working from home! No experience needed, visit bit.ly/xyz123!",spam
